name,description,url,forks,stars,last_push,contributors
system-design-primer,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,https://api.github.com/repos/donnemartin/system-design-primer,21328,117970,2020-12-29T02:51:34Z,30
Python-100-Days,Python - 100天从新手到大师,https://api.github.com/repos/jackfrued/Python-100-Days,39340,98009,2021-01-05T03:16:54Z,12
Python,All Algorithms implemented in Python,https://api.github.com/repos/TheAlgorithms/Python,28000,97038,2021-01-06T20:30:10Z,30
awesome-python,"A curated list of awesome Python frameworks, libraries, software and resources",https://api.github.com/repos/vinta/awesome-python,18075,92213,2021-01-07T15:50:11Z,30
youtube-dl,Command-line program to download videos from YouTube.com and other video sites,https://api.github.com/repos/ytdl-org/youtube-dl,3452,87282,2021-01-07T13:48:46Z,30
models,Models and examples built with TensorFlow,https://api.github.com/repos/tensorflow/models,43277,68215,2021-01-07T06:24:31Z,30
thefuck,Magnificent app which corrects your previous console command.,https://api.github.com/repos/nvbn/thefuck,2805,58288,2021-01-06T08:51:20Z,30
django,The Web framework for perfectionists with deadlines.,https://api.github.com/repos/django/django,23514,54786,2021-01-07T17:26:01Z,30
flask,The Python micro framework for building web applications.,https://api.github.com/repos/pallets/flask,14049,53425,2021-01-07T00:57:32Z,30
keras,Deep Learning for humans,https://api.github.com/repos/keras-team/keras,18685,50458,2021-01-07T03:16:47Z,30
httpie,"As easy as /aitch-tee-tee-pie/ 🥧 Modern, user-friendly command-line HTTP client for the API era. JSON support, colors, sessions, downloads, plugins & more. https://twitter.com/httpie",https://api.github.com/repos/httpie/httpie,3207,49393,2021-01-03T00:24:05Z,30
ansible,"Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on remote systems. https://docs.ansible.com.",https://api.github.com/repos/ansible/ansible,20074,46389,2021-01-07T17:32:08Z,30
requests,"A simple, yet elegant HTTP library.",https://api.github.com/repos/psf/requests,8070,44290,2021-01-05T14:31:17Z,30
scikit-learn,scikit-learn: machine learning in Python,https://api.github.com/repos/scikit-learn/scikit-learn,20812,43642,2021-01-07T15:43:31Z,30
core,:house_with_garden: Open source home automation that puts local control and privacy first,https://api.github.com/repos/home-assistant/core,12841,39171,2021-01-07T17:32:48Z,30
transformers,🤗Transformers: State-of-the-art Natural Language Processing for Pytorch and TensorFlow 2.0.,https://api.github.com/repos/huggingface/transformers,9580,39044,2021-01-07T16:08:09Z,30
big-list-of-naughty-strings,The Big List of Naughty Strings is a list of strings which have a high probability of causing issues when used as user-input data.,https://api.github.com/repos/minimaxir/big-list-of-naughty-strings,1751,38956,2020-10-06T11:10:54Z,30
you-get,:arrow_double_down: Dumb downloader that scrapes the web,https://api.github.com/repos/soimort/you-get,7953,38476,2020-12-30T23:40:37Z,30
face_recognition,The world's simplest facial recognition api for Python and the command line,https://api.github.com/repos/ageitgey/face_recognition,10725,38035,2020-12-19T11:44:26Z,30
HelloGitHub,:octocat: Find pearls on open-source seashore 分享 GitHub 上有趣、入门级的开源项目,https://api.github.com/repos/521xueweihan/HelloGitHub,5366,36005,2020-12-27T17:01:55Z,7
cpython,The Python programming language,https://api.github.com/repos/python/cpython,17387,35459,2021-01-07T16:49:04Z,30
faceswap,Deepfakes Software For All,https://api.github.com/repos/deepfakes/faceswap,10490,33823,2021-01-06T01:24:38Z,30
shadowsocks,,https://api.github.com/repos/shadowsocks/shadowsocks,19677,32909,2019-11-06T02:01:03Z,1
superset,Apache Superset is a Data Visualization and Data Exploration Platform,https://api.github.com/repos/apache/superset,6552,31843,2021-01-07T17:16:09Z,30
XX-Net,A proxy tool to bypass GFW.,https://api.github.com/repos/XX-net/XX-Net,7840,30522,2020-10-09T09:04:52Z,30
interview_internal_reference,2020年最新总结，阿里，腾讯，百度，美团，头条等技术面试题目，以及答案，专家出题人分析汇总。,https://api.github.com/repos/0voice/interview_internal_reference,8199,29919,2020-10-17T02:49:24Z,25
CppCoreGuidelines,"The C++ Core Guidelines are a set of tried-and-true guidelines, rules, and best practices about coding in C++",https://api.github.com/repos/isocpp/CppCoreGuidelines,3946,29592,2020-12-17T04:17:27Z,30
manim,Animation engine for explanatory math videos,https://api.github.com/repos/3b1b/manim,3763,29510,2021-01-06T20:56:27Z,30
12306,12306智能刷票，订票,https://api.github.com/repos/testerSunshine/12306,9188,29087,2021-01-04T08:13:18Z,22
Deep-Learning-Papers-Reading-Roadmap,Deep Learning papers reading roadmap for anyone who are eager to learn this amazing tech!,https://api.github.com/repos/floodsung/Deep-Learning-Papers-Reading-Roadmap,6391,29042,2021-01-05T02:39:56Z,25
AiLearning,AiLearning: 机器学习 - MachineLearning - ML、深度学习 - DeepLearning - DL、自然语言处理 NLP,https://api.github.com/repos/apachecn/AiLearning,9678,28502,2021-01-02T12:13:06Z,7
pandas,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R data.frame objects, statistical functions, and much more",https://api.github.com/repos/pandas-dev/pandas,11659,27957,2021-01-07T17:33:11Z,30
localstack,💻  A fully functional local AWS cloud stack. Develop and test your cloud & Serverless apps offline!,https://api.github.com/repos/localstack/localstack,2175,27910,2021-01-07T14:28:58Z,30
